 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
    397     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    398     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    399     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    400     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    401     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    402     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    403     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    404     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    405     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    406     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    407     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    408     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    409     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    410     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    411     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    412     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    413     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    414     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    415     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    416     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    417     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    418     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    419     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    420     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    421     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    422     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    423     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    424     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    425     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    426     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    427     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    428     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    429     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    430     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    431     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    432     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    433     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    434     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    435     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    436     0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    437    -0.000000000    -0.000000000     0.000000000     -0.000000000    -0.000000000     0.000000000
    438    -0.000000000    -0.000000000    -0.000000000     -0.000000000    -0.000000000    -0.000000000
    439    -0.000000000     0.000000000    -0.000000000     -0.000000000     0.000000000    -0.000000000
    440    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    441    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    442    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    443    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    444    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    445    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    446    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    447    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    448    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    449    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    450    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    451    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    452    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    453    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    454    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    455    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    456    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    457    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    458    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    459    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    460    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    461    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    462    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    463    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    464    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    465    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    466    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    467    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    468    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    469    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    470    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    471    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    472    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    473    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    474    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    475    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    476    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    477    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    478    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    479    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    480    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    481    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    482    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    483    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    484    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    485    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    486    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    487    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    488    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
    489    -0.000000000     0.000000000    -0.000000000      0.000000000     0.000000000    -0.000000000
